_id,DC Code,DC Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
109,95EE,Ballymoney,2014,645,303,342,31551.9000000000014551915228366851806640625,116.32,1789.799999999999954525264911353588104248046875,29214.79999999999927240423858165740966796875,55736,66320,12677,1052759,832,504,189,337,1358,430,90,49,76
110,95FF,Banbridge,2014,1050,383,667,39359.699999999997089616954326629638671875,72.56,4019.90000000000009094947017729282379150390625,35029.5999999999985448084771633148193359375,74520,73584,11704,304800,1294,720,300,526,2120,794,118,58,80
111,95GG,Belfast,2014,15,12,3,2161.3000000000001818989403545856475830078125,148.91,61.4,2017.700000000000045474735088646411895751953125,2352,1657,1605,0,19,15,2,83,104,10,1,3,1
112,95HH,Carrickfergus,2014,92,91,1,3303.59999999999990905052982270717620849609375,48.93,23.1,3189.90000000000009094947017729282379150390625,4755,11308,1481,170,118,62,28,49,195,69,17,4,2
113,95II,Castlereagh,2014,95,4,91,6368,118.53,638.9,4934.1999999999998181010596454143524169921875,10133,3067,42,0,135,79,36,151,322,62,10,5,18
114,95JJ,Coleraine,2014,662,291,371,34726.699999999997089616954326629638671875,96.47,2719.8000000000001818989403545856475830078125,31417.0999999999985448084771633148193359375,60124,61191,5449,423510,842,544,215,366,1423,443,102,43,74
115,95KK,Cookstown,2014,1215,730,485,39910.800000000002910383045673370361328125,84.48,955.1,38490.5,81344,50474,74394,1655423,1474,787,284,563,2321,947,121,78,69
116,95LL,Craigavon,2014,539,219,320,18723,95.05,2070,16339.100000000000363797880709171295166015625,41446,7297,9093,473816,678,383,153,491,1322,386,64,34,55
117,95MM,Derry,2014,457,372,85,26813.9000000000014551915228366851806640625,65.07,2191.09999999999990905052982270717620849609375,24123.79999999999927240423858165740966796875,26003,85921,834,34845,562,348,120,270,952,340,76,11,30
118,95NN,Down,2014,1146,641,505,48425.699999999997089616954326629638671875,62.65,3978.90000000000009094947017729282379150390625,43614.9000000000014551915228366851806640625,73086,106675,29957,270657,1377,767,330,641,2348,870,155,57,64
119,95OO,Dungannon,2014,1685,1236,449,55168.699999999997089616954326629638671875,103.3,951.3,53403.699999999997089616954326629638671875,112164,41849,91628,5787372,1966,1018,368,740,3074,1285,208,89,103
120,95PP,Fermanagh,2014,2955,2930,25,120258.89999999999417923390865325927734375,42.99,259.4,117853.39999999999417923390865325927734375,152183,107932,1128,824907,3377,1786,785,1030,5192,2505,285,106,59
