_id,Ward1992 Code,Ward1992 Name,Year,Number of Farms,Number of lfa farms,Number of non lfa farms,Total area farmed in hectares,Average SO/farm   ( '000 ),Total crops in hectares,Total grass & rough grazing in hectares,Total number of cattle,Total number of sheep,Total number of pigs,Total number of poultry ('000),Number of farmers,Number of self employed,Number of spouses,Number of Other workers,Total number of Agricultural labour
2694,95PP15,Lisbellaw,2014,97,95,2,4335,77,6,4288,8367,2448,0,0,110,63,28,62,200
2695,95PP16,Lisnarrick,2014,94,94,0,4374,62,13,4207,6900,6373,4,18,111,64,22,40,173
2696,95PP17,Lisnaskea,2014,13,13,0,268,12,0,265,298,181,0,0,13,3,0,3,16
2697,95PP18,Maguires Bridge,2014,182,180,2,6911,59,30,6838,12068,9891,0,3,205,131,49,80,334
2698,95PP19,Newtownbutler,2014,140,140,0,6120,69,14,5981,9572,3768,0,184,165,98,47,65,277
2699,95PP20,Portora,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2700,95PP21,Rosslea,2014,211,211,0,6165,33,19,6011,8718,4534,0,33,246,129,52,45,343
2701,95PP22,Rossorry,2014,11,11,0,272,15,0,267,295,231,36,0,12,5,4,2,18
2702,95PP23,Tempo,2014,180,177,3,7673,37,4,7548,9017,6773,337,16,218,114,51,46,315
2703,95QQ01,Antiville,2014,5,5,0,139,18,11,128,134,433,0,0,5,2,0,0,5
2704,95QQ02,Ballycarry,2014,44,44,0,1992,47,0,1943,2823,8656,0,0,49,28,11,11,71
2705,95QQ03,Ballyloran,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2706,95QQ04,Blackcave,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2707,95QQ05,Carncastle,2014,11,10,1,392,26,0,389,383,1850,0,0,12,11,2,7,21
2708,95QQ06,Carnlough,2014,75,74,1,5462,39,1,5408,2547,21784,0,38,83,47,19,39,141
2709,95QQ07,Central LARNE,2014,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
