WPC Code,WPC Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N06000017,Upper Bann,2013,751,240,511,"25,644.00",81.00,"2,963.00","22,276.00","57,329","16,754","8,611",467,924,494,210,596,1730,548,81,50,72
N06000018,West Tyrone,2013,3289,2964,325,"153,504.00",58.00,"2,991.00","145,948.00","204,330","335,253","63,731","1,621",3859,2254,724,1478,6061,2552,405,155,177
N06000001,Belfast East,2014,3,3,3,3,133.00,333.00,"2,037.00","2,428","2,233",42,0,3,3,3,3,3,3,3,3,3
N06000002,Belfast North,2014,3,3,3,3,168.00,9.00,725.00,"1,095",714,0,16,3,3,3,3,3,3,3,3,3
N06000003,Belfast South,2014,3,3,3,3,141.00,169.00,"1,325.00","3,504","1,226","1,605",0,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2014,3,3,3,3,56.00,0.00,"1,145.00",799,38,0,0,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2014,784,767,17,"46,148.00",57.00,354.00,"45,391.00","41,349","189,541","5,517",187,927,560,222,390,1539,591,106,36,51
N06000006,East Londonderry,2014,1534,973,561,"90,269.00",76.00,"7,129.00","81,291.00","108,165","245,582","6,296",523,1925,1180,432,830,3187,1085,246,84,119
N06000007,Fermanagh & South Tyrone,2014,4239,3900,339,"165,453.00",63.00,"1,026.00","161,602.00","243,246","144,759","87,481","5,095",4885,2596,1072,1648,7605,3448,465,181,145
N06000008,Foyle,2014,178,103,75,"10,182.00",93.00,"1,976.00","8,043.00","13,780","20,090",70,16,226,151,48,119,393,118,30,8,22
N06000009,Lagan Valley,2014,852,251,601,"32,285.00",87.00,"4,758.00","27,200.00","62,306","42,201","19,375",605,1044,580,296,483,1823,616,104,52,80
N06000010,Mid Ulster,2014,2840,1891,949,"97,399.00",70.00,"3,089.00","92,977.00","169,969","168,435","99,001","3,402",3402,1762,639,1267,5308,2265,290,157,128
N06000011,Newry & Armagh,2014,2964,2053,911,"80,444.00",74.00,"4,467.00","74,993.00","184,769","86,888","118,395","2,229",3478,1732,652,1723,5853,2377,304,111,172
N06000012,North Antrim,2014,2164,1401,763,"103,673.00",98.00,"3,822.00","98,255.00","164,254","278,356","20,295","3,866",2717,1659,659,1059,4435,1488,311,159,206
N06000013,North Down,2014,116,3,115,"5,972.00",108.00,793.00,"4,369.00","10,875","3,613",23,5,139,82,38,80,257,77,15,7,17
N06000014,South Antrim,2014,1014,603,411,"47,934.00",88.00,"2,126.00","44,869.00","86,066","65,794","20,476","1,265",1215,729,305,577,2097,710,155,58,91
N06000015,South Down,2014,2613,1531,1082,"87,913.00",56.00,"7,316.00","79,635.00","143,722","256,649","32,908",795,3145,1705,689,1268,5102,2084,292,104,133
N06000016,Strangford,2014,882,231,651,"43,387.00",110.00,"6,810.00","35,741.00","75,028","55,584","38,008",291,1124,666,316,716,2156,574,129,57,122
N06000017,Upper Bann,2014,729,223,506,"25,361.00",92.00,"2,829.00","22,126.00","57,569","17,604","10,547",529,934,517,195,610,1739,526,85,44,74
N06000018,West Tyrone,2014,3244,2921,323,"153,783.00",68.00,"2,762.00","146,458.00","198,371","343,563","57,036","1,576",3831,2225,697,1487,6015,2510,397,162,175
N06000001,Belfast East,2015,3,3,3,3,152.00,426.00,"1,702.00","2,263","2,955",20,0,3,3,3,3,3,3,3,3,3
N06000002,Belfast North,2015,3,3,3,3,113.00,10.00,787.00,956,543,0,0,3,3,3,3,3,3,3,3,3
N06000003,Belfast South,2015,3,3,3,3,122.00,234.00,"1,369.00","3,458","1,430","1,466",0,3,3,3,3,3,3,3,3,3
N06000004,Belfast West,2015,3,3,3,3,33.00,0.00,996.00,868,155,0,0,3,3,3,3,3,3,3,3,3
N06000005,East Antrim,2015,810,786,24,"46,865.00",62.00,266.00,"46,077.00","41,297","192,147","5,458",479,945,563,211,417,1573,606,120,30,54
N06000006,East Londonderry,2015,1582,988,594,"88,694.00",75.00,"6,502.00","80,574.00","111,637","252,062","6,760",504,1974,1199,428,775,3177,1129,238,96,119
