Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000925,Loughry,2016,40,10,30,1755,112,8,1719,3420,2802,434,134,49,30,19,27,95
N08000926,Lower Glenshane,2016,192,186,6,8522,40,72,8380,5093,38798,0,173,219,94,39,55,313
N08000927,Maghera,2016,14,9,5,346,44,0,346,920,842,0,0,14,3,3,5,20
N08000928,Moy,2016,77,3,73,3541,163,173,3339,7352,1632,428,654,91,59,16,37,144
N08000929,Moygashel,2016,10,3,6,200,148,0,196,522,81,0,97,10,6,3,3,13
N08000930,Mullaghmore,2016,12,3,9,169,20,6,163,397,373,18,0,12,3,3,3,15
N08000931,Oaklands,2016,258,230,28,8292,52,37,8141,13164,12086,1024,301,307,143,57,85,449
N08000932,Pomeroy,2016,226,208,18,5911,85,2,5856,11431,7974,1722,954,270,128,49,90,409
N08000933,Stewartstown (Mid Ulster),2016,137,11,126,5204,186,114,5062,15485,5355,35910,293,194,114,35,65,294
N08000934,Swatragh,2016,165,152,13,6331,30,91,6150,6315,17383,0,36,199,76,42,46,287
N08000935,Tamlaght O'Crilly,2016,135,73,62,3878,58,217,3615,6977,11490,3444,196,161,88,26,54,241
N08000936,The Loup,2016,128,3,124,4385,91,191,4112,11334,3472,6575,20,163,91,27,58,248
N08000937,Tobermore,2016,130,68,62,5362,74,288,4853,9370,13065,3533,17,172,106,35,47,254
N08000938,Town Parks East,2016,5,3,3,464,53,0,464,314,493,0,0,5,3,3,3,10
N08000939,Valley (Mid Ulster),2016,120,74,46,4052,83,238,3733,10703,3417,834,28,145,85,27,50,222
N08000940,Washing Bay,2016,79,53,26,1676,28,13,1650,3663,244,0,13,90,35,12,32,134
N08001001,"Abbey (Newry, Mourne and Down)",2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001002,Annalong,2016,103,80,23,2997,51,90,2901,5070,10661,1048,1,129,59,31,37,197
N08001003,Ballybot,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001004,Ballydugan,2016,136,49,87,4745,54,523,4122,8181,12824,3467,19,156,91,29,74,259
N08001005,Ballynahinch,2016,6,3,3,156,66,7,149,356,431,1050,0,6,5,0,3,8
N08001006,Ballyward,2016,289,263,26,9729,41,178,9449,14503,38235,2233,27,346,170,78,100,524
N08001007,Bessbrook,2016,10,10,0,134,101,4,127,94,23,0,0,10,5,3,8,20
N08001008,Binnian,2016,111,65,46,2387,54,202,2176,5001,11237,4130,0,140,55,32,36,208
N08001009,Burren,2016,63,57,6,1746,44,11,1598,3200,4447,452,1,82,39,10,24,116
N08001010,Camlough,2016,114,108,6,3389,50,50,3303,7298,4252,20,6,136,66,17,53,206
N08001011,Castlewellan,2016,72,62,10,1546,19,15,1524,2329,4736,0,0,93,30,16,21,130
N08001012,"Cathedral (Newry, Mourne and Down)",2016,10,3,8,284,20,73,211,126,420,0,0,11,3,3,3,16
N08001013,Crossgar and Killyleagh,2016,23,10,13,986,131,55,870,1314,1107,8836,0,28,16,7,18,53
N08001014,Crossmaglen,2016,169,166,3,2677,22,0,2655,6669,510,0,0,184,58,22,32,238
N08001015,Damolly,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001016,Derryboy,2016,100,45,55,4121,95,414,3607,7017,10611,14305,0,119,65,37,51,207
N08001017,Derryleckagh,2016,88,83,5,2069,46,28,2032,4478,2282,1955,73,105,51,18,22,145
N08001018,Donard,2016,6,6,0,223,22,0,222,99,675,0,0,6,3,3,3,14
N08001019,Drumalane,2016,10,10,0,181,24,0,180,319,37,0,0,10,3,3,3,14
N08001020,Drumaness,2016,91,85,6,2829,51,31,2772,5406,4268,581,90,104,52,25,39,168
N08001021,Dundrum,2016,85,12,73,3277,77,546,2680,6167,6199,361,60,106,62,23,59,188
N08001022,Fathom,2016,116,113,3,2198,38,21,2163,5095,4135,2667,32,126,40,10,22,158
N08001023,Forkhill,2016,130,127,3,2998,31,5,2965,6028,2347,123,0,149,50,21,48,218
N08001024,Hilltown,2016,263,177,86,7329,50,586,6722,11640,35525,33,54,314,155,67,177,558
N08001025,Kilkeel,2016,27,8,19,781,59,159,616,1473,2431,1802,0,35,15,9,12,56
N08001026,Kilmore,2016,123,112,11,4633,64,99,4381,8297,6338,2158,87,143,67,51,52,246
N08001027,Knocknashinna,2016,9,5,3,248,22,34,211,337,0,0,0,12,3,3,7,20
N08001028,Lecale,2016,75,3,73,4145,93,582,3529,7839,10650,1963,42,94,68,29,53,176
N08001029,Lisnacree,2016,200,141,59,6091,48,300,5732,8285,28482,3388,36,245,125,52,91,388
N08001030,Mayobridge,2016,156,54,102,4294,76,355,3918,10704,7078,2979,174,189,101,38,68,295
N08001031,Mullaghbane,2016,205,198,7,4199,28,16,4107,9560,3084,0,66,225,81,29,47,301
N08001032,Murlough,2016,15,5,10,1115,144,227,887,2388,529,0,0,30,17,3,18,52
N08001033,Newtownhamilton,2016,306,303,3,6992,40,20,6921,16517,6383,126,77,359,166,66,65,490
N08001034,Quoile,2016,43,33,10,2070,49,176,1725,3180,3001,78,0,61,32,11,24,96
N08001035,Rostrevor,2016,59,57,3,1038,14,4,1028,1041,6422,95,0,72,15,11,13,96
N08001036,Saintfield,2016,33,14,19,9822,76,120,2201,2364,2311,0,12,40,20,10,13,63
N08001037,St. Patrick's,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001038,Strangford,2016,122,42,80,5866,79,763,4980,11927,6863,0,0,164,105,35,63,262
N08001039,Tollymore,2016,240,191,49,7413,45,267,7091,8486,34046,3253,203,283,131,59,86,428
N08001040,Warrenpoint,2016,6,6,0,71,8,0,70,31,320,0,0,7,3,3,0,8
N08001041,Whitecross,2016,166,115,51,6364,119,372,5930,18535,6178,4484,147,212,123,47,63,322
N08001101,Ballycrochan,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001102,Ballygowan,2016,56,26,30,2476,109,524,1893,4563,3564,475,2,75,46,17,39,131
N08001103,Ballygrainey,2016,10,0,10,392,120,57,322,1113,375,0,0,12,9,0,10,22
N08001104,Ballyholme,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001105,Ballymagee,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001106,Ballywalter,2016,48,3,46,2751,141,576,2022,6058,4710,0,0,64,45,17,32,113
N08001107,Bloomfield (Ards and North Down),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001108,Broadway,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001109,Bryansburn,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001110,Carrowdore,2016,73,0,73,3120,134,519,2544,7224,6035,0,39,94,59,22,45,161
N08001111,Castle (Ards and North Down),2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001112,Clandeboye,2016,8,0,8,1347,259,101,689,1536,290,0,0,13,12,3,6,22
N08001113,Comber North,2016,8,3,7,378,111,340,23,0,172,0,0,14,8,0,31,45
N08001114,Comber South,2016,45,15,30,1636,92,481,1151,2163,3634,0,0,54,29,15,42,111
N08001115,Comber West,2016,16,0,16,493,128,233,256,404,2036,0,0,21,14,6,15,42
N08001116,Conway Square,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001117,Cronstown,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001118,Cultra,2016,18,3,17,658,85,7,612,1563,65,16,0,21,8,3,10,35
N08001119,Donaghadee,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001120,Glen,2016,5,0,5,120,44,0,118,99,317,8,0,6,5,3,3,12
N08001121,Gregstown,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001122,Groomsport,2016,10,0,10,712,90,126,483,791,1840,9,0,13,6,3,7,24
N08001123,Harbour,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001124,Helen's Bay,2016,6,0,6,62,11,27,33,14,49,0,0,6,3,3,3,9
N08001125,Holywood,2016,5,3,3,192,24,10,178,135,0,0,0,5,3,3,3,8
N08001126,Kilcooley,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001127,Killinchy,2016,71,11,60,3079,73,472,2579,5014,7959,0,39,87,56,27,41,155
N08001128,Kircubbin,2016,69,3,66,3390,123,502,2827,8535,1405,0,77,88,50,23,86,197
N08001129,Loughries,2016,80,3,79,3387,105,388,2967,7617,2389,0,0,95,47,28,76,199
N08001130,Loughview,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001131,Movilla,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001132,Portaferry,2016,52,3,51,2980,191,728,2137,6426,3357,12882,0,73,49,17,35,125
N08001133,Portavogie,2016,33,0,33,1629,172,94,1535,4577,986,1977,0,46,24,8,31,85
N08001134,Rathgael,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001135,Rathmore,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001136,Scrabo,2016,25,3,24,2075,242,1062,998,3236,1155,29,1,32,25,12,36,80
N08001137,Silverbirch,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001138,Silverstream,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08001139,Warren,2016,24,0,24,1031,99,152,797,1958,779,0,0,30,18,8,7,45
N08001140,West Winds,2016,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000101,Abbey (Antrim and Newtownabbey),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000102,Aldergrove,2017,100,6,94,5998.2,116,184.6,5655.1,10554,15591,495,170.48,123,83,40,76,239
N08000103,Antrim Centre,2017,5,3,3,40.1,206,0,39.9,50,0,4112,0,7,0,0,3,11
N08000104,Ballyclare East,2017,5,3,3,177.4,18,0,177.4,191,259,0,0,5,3,0,0,5
N08000105,Ballyclare West,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000106,Ballyduff,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000107,Ballyhenry,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000108,Ballynure,2017,86,60,26,3726.4,91,78.7,3625.2,7980,8944,47,89.5,102,59,29,43,174
N08000109,Ballyrobert,2017,32,3,30,1323.1,94,110.1,1207.5,2967,1868,0,0,42,23,11,29,82
N08000110,Burnthill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000111,Carnmoney,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000112,Carnmoney Hill,2017,5,3,3,96.8,224,11,85.3,106,9,0,0,8,3,3,35,44
N08000113,Clady,2017,113,90,23,6030.2,100,221.3,5712,11594,6023,26,81.21,132,78,32,60,224
N08000114,Collinbridge,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000115,Cranfield,2017,68,21,47,2765.7,100,121.2,2620.3,7522,3048,60,96,89,64,18,32,139
N08000116,Crumlin,2017,7,3,6,224.8,14,0,224.8,98,201,0,0,8,3,3,3,12
N08000117,Doagh,2017,22,6,16,998,133,108.7,884.5,2351,1289,4457,0,31,21,6,17,54
N08000118,Fairview,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000119,Fountain Hill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000120,Glebe (Antrim and Newtownabbey),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000121,Glengormley,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000122,Greystone (Antrim and Newtownabbey),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000123,Hightown,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000124,Jordanstown,2017,14,14,0,1192.5,240,0,1186.5,1927,480,10624,0,17,11,3,11,32
N08000125,Mallusk,2017,19,6,13,750.1,77,78.8,669.6,1305,405,903,0,23,12,3,5,31
N08000126,Monkstown,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000127,Mossley,2017,7,3,3,178.2,17,0,175.9,157,659,0,0,7,3,3,3,13
N08000128,O'Neill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000129,Parkgate,2017,115,91,24,5169.6,74,295.7,4812,7962,19436,0,166.03,140,73,45,44,229
N08000130,Randalstown,2017,9,3,5,859.9,92,40.5,500.8,786,2607,0,0,9,3,3,9,22
N08000131,Rathcoole,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000132,Rostulla,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000133,Shilvodan,2017,106,100,6,3999.1,110,105.3,3855.1,7361,8522,2395,426.34,129,79,32,47,208
N08000134,Springfarm,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000135,Steeple,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000136,Stiles,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000137,Templepatrick,2017,49,9,40,3345.8,91,100.7,3227.2,5470,3029,0,0,58,37,20,19,97
N08000138,Toome,2017,112,50,62,4349.5,97,92.8,4196.9,11147,5242,50,226.93,141,84,28,45,214
N08000139,Valley (Antrim and Newtownabbey),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000140,Whitehouse,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000201,Aghagallon,2017,93,43,50,3552.7,83,179.1,3315.9,9695,1016,1439,50.95,104,59,23,56,183
N08000202,Ballybay,2017,22,3,21,846.2,81,254,587.8,1080,90,0,0,28,16,7,36,71
N08000203,Banbridge East,2017,91,3,89,3641.1,125,435.5,3184.1,10164,4403,3313,0.5,119,75,36,51,206
N08000204,Banbridge North,2017,15,0,15,172.5,12,5.2,167.3,278,385,0,0,16,7,3,3,24
N08000205,Banbridge South,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000206,Banbridge West,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000207,Blackwatertown,2017,250,44,206,7642.1,138,710.9,6781.4,19039,4321,0,890.78,306,168,62,399,767
N08000208,Bleary,2017,31,3,30,717.5,56,31.3,679.5,1275,1104,20,0,36,19,7,23,66
N08000209,Brownlow,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000210,"Cathedral (Armagh City, Banbridge and Craigavon)",2017,7,0,7,121.8,34,6.3,110.4,135,0,0,0,8,3,3,3,12
N08000211,Corcrain,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000212,Craigavon Centre,2017,11,9,3,516.9,159,82.3,405.5,1539,13,0,0,15,7,3,9,27
N08000213,Demesne,2017,9,0,9,172.9,22,0,171.6,344,124,0,0,10,5,3,3,13
N08000214,Derrytrasna,2017,56,49,7,1850.3,65,95.7,1656,3929,640,12,76.13,74,34,10,28,112
N08000215,Donaghcloney,2017,88,3,85,3852.7,149,637.8,3193.5,9662,2765,10,460.99,122,62,32,53,207
N08000216,"Dromore (Armagh City, Banbridge and Craigavon)",2017,27,3,24,726.8,48,78.4,647.4,1647,2059,0,0,31,14,7,6,44
N08000217,Gilford,2017,64,3,62,2245.7,87,122.7,2069.9,4974,1169,0,0,75,42,15,51,141
N08000218,Gransha,2017,193,146,47,6001.1,76,467.9,5462.2,13829,14325,22,146.75,243,138,60,79,382
N08000219,Hamiltonsbawn,2017,162,72,90,5220.4,110,596.6,4520,11297,8582,11789,359.95,191,102,46,102,339
N08000220,Keady,2017,249,236,13,5642.1,54,21,5598.8,14280,3839,0,145.23,292,149,50,169,511
N08000221,Kernan,2017,14,3,13,605.5,142,8.8,596.7,1906,519,1317,0,21,15,3,8,33
N08000222,Killycomain,2017,5,3,3,90.6,15,0,90.3,128,6,0,0,5,3,0,3,9
N08000223,Knocknashane,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000224,Lough Road,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000225,Loughbrickland,2017,213,5,208,10421,77,1485.5,8833.8,16308,14517,2992,108.18,273,148,63,79,415
N08000226,Loughgall,2017,180,44,136,4904.3,99,910,3918.9,10181,5635,4067,188.14,226,124,52,332,610
N08000227,Magheralin,2017,20,0,20,889.8,153,36.2,841,2808,201,2073,20.86,28,17,5,6,39
N08000228,Mahon,2017,32,3,30,948.5,115,92.3,842.7,2212,500,0,37.9,37,18,10,22,69
N08000229,Markethill,2017,198,70,128,7884.4,117,554.1,7038.5,21297,15054,4435,370.15,249,150,65,94,408
N08000230,Mourneview,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000231,Navan,2017,264,114,150,7945.4,180,200,7687.8,21726,12052,129422,132.9,324,180,77,161,562
N08000232,Parklake,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000233,Quilly,2017,99,3,97,4316.2,107,751.9,3513.3,10113,3471,0,116.4,121,72,24,65,210
N08000234,Rathfriland,2017,161,30,131,5263.1,81,597.3,4613.9,11693,11884,3883,30.7,189,112,52,77,318
N08000235,Richhill,2017,71,18,53,2722.3,82,303.9,2406.2,5777,2146,160,54.35,92,53,19,81,192
N08000236,Seagahan,2017,369,348,21,9075.4,63,35.3,8982.8,24596,10114,8386,435.16,432,218,69,85,586
N08000237,"Shankill (Armagh City, Banbridge and Craigavon)",2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000238,Tandragee,2017,23,0,23,1004.5,107,128.3,841.7,2297,741,76,5.5,28,14,8,14,50
N08000239,The Birches,2017,173,123,50,5413.5,105,517.3,4764.8,11601,2938,7218,0,214,118,44,244,502
N08000240,The Mall,2017,11,5,6,790.3,216,71,716.7,2243,271,0,0,14,9,3,23,40
N08000241,Waringstown,2017,29,3,26,974.8,90,112.3,828.3,2026,467,519,22.75,34,15,7,12,53
N08000301,Andersonstown,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000302,Ardoyne,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000303,Ballygomartin,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000304,Ballymacarrett,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000305,Ballymurphy,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000306,Ballysillan,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000307,Beechmount,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000308,Beersbridge,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000309,Bellevue,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000310,Belmont,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000311,Belvoir,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000312,Blackstaff,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000313,Bloomfield (Belfast),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000314,Cavehill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000315,Central,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000316,Chichester Park,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000317,Cliftonville,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000318,Clonard,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000319,Collin Glen,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000320,Connswater,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000321,Cregagh,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000322,Duncairn,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000323,Dunmurry,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000324,Falls,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000325,Falls Park,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000326,Finaghy,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000327,Forth River,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000328,Fortwilliam,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000329,Garnerville,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000330,Gilnahirk,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000331,Hillfoot,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000332,Innisfayle,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000333,Knock,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000334,Ladybrook,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000335,Lagmore,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000336,Legoniel,2017,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3
N08000337,Malone,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000338,Merok,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000339,Musgrave,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000340,New Lodge,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000341,Orangefield,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000342,Ormeau,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000343,Poleglass,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000344,Ravenhill,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000345,Rosetta,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000346,Sandown,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000347,Shandon,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000348,Shankill (Belfast),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000349,Shaw's Road,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000350,Stewartstown (Belfast),2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000351,Stormont,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000352,Stranmillis,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000353,Sydenham,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000354,Turf Lodge,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000355,Twinbrook,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000356,Upper Malone,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000357,Water Works,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000358,Windsor,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000359,Woodstock,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000360,Woodvale,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000401,Aghadowey,2017,166,52,114,8445.7,114,429.1,7764.7,16450,16743,1398,366.1,217,147,52,90,359
N08000402,Altahullion,2017,99,61,38,6203.8,110,873.9,5298.2,8285,15378,67,169.03,130,80,37,37,204
N08000403,Atlantic,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000404,Ballycastle,2017,14,14,0,673.6,28,19.3,645,241,4072,0,0,14,7,3,3,20
N08000405,Ballykelly,2017,64,39,25,3535.1,78,951,2542.3,3955,5863,327,0,90,42,15,33,138
N08000406,Ballymoney East,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000407,Ballymoney North,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000408,Ballymoney South,2017,11,3,9,461,130,5.9,421.2,1095,170,0,23,13,10,3,3,18
N08000409,Castlerock,2017,14,3,13,866.4,158,79.3,773.7,2234,287,0,0,18,11,3,11,32
N08000410,Churchland,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000411,Clogh Mills,2017,114,76,38,5852.2,142,169.4,5624.3,8750,8607,12253,558.17,148,97,40,51,239
N08000412,Coolessan,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000413,Dervock,2017,91,7,84,5056.5,155,632.2,4270.3,9371,7512,971,239.34,121,91,32,64,217
N08000414,Drumsurn,2017,55,18,37,3319.9,87,234.7,3041.8,4885,11023,24,0,69,48,15,23,107
N08000415,Dundooan,2017,111,14,97,6319.5,156,794.8,5406.6,15664,5639,0,88.34,154,113,43,100,297
N08000416,Dungiven,2017,87,83,3,7088.2,61,11.6,6997.3,3330,29186,0,50,106,63,27,52,185
N08000417,Dunloy,2017,110,60,50,5281.9,90,194.8,4888.9,8925,13355,500,67.1,148,93,34,62,244
N08000418,Feeny,2017,100,89,11,7323.6,45,76.7,7155.3,4116,29614,0,0,117,67,35,46,198
N08000419,Garvagh,2017,136,116,20,6786.9,44,155,6569,6012,16746,11,103.2,168,99,50,42,260
N08000420,Giant's Causeway,2017,122,90,32,7103.6,140,518.5,6385.7,14119,13722,1930,252.66,159,113,44,75,278
N08000421,Greysteel,2017,72,54,18,2561.4,32,331.7,2183.7,2653,5731,7,0,79,42,9,17,105
N08000422,Greystone (Causeway Coast and Glens),2017,6,3,3,201.1,21,13.7,186,79,318,0,0,6,3,3,0,8
N08000423,Hopefield,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000424,Kilrea,2017,108,36,72,4166.2,67,125.6,3936.3,7573,9290,2513,44.98,137,74,31,44,212
N08000425,Kinbane,2017,124,118,6,6391.4,90,310.1,6008.8,9836,24959,36,89.7,157,101,29,60,246
N08000426,Loughguile and Stranocum,2017,155,97,58,7676.4,119,370,7225,12927,29608,21,398.1,204,124,45,54,303
N08000427,Lurigethan,2017,91,88,3,5848.5,61,130.9,5686.2,1564,26861,0,258.9,103,51,21,34,158
N08000428,Macosquin,2017,109,56,53,6201.5,85,379.6,5755.3,9064,16026,3051,0,149,94,35,47,231
N08000429,Magilligan,2017,138,85,53,8522.2,72,1416.2,6887.6,9775,25319,26,0.57,167,104,35,70,272
N08000430,Mountsandel,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000431,Portrush and Dunluce,2017,17,14,3,1684.9,204,149,1531.1,3402,1671,0,0,24,20,8,9,41
N08000432,Portstewart,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000433,Quarry,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000434,Rasharkin,2017,131,66,65,5133.4,107,260.6,4804.5,11462,7183,933,193.8,166,95,42,74,282
N08000435,Roeside,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
