Ward2014 Code,Ward2014 Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  
N08000602,Belcoo and Garrison,2015,254,252,3,11133,19,13,10922,8353,4520,0,0,292,118,56,57,405
N08000603,Belleek and Boa,2015,228,223,5,9637,27,0,9482,8524,15607,35,16,250,126,38,61,349
N08000604,Beragh,2015,133,89,44,5916,104,83,5602,11655,9705,571,182,169,97,30,69,268
N08000605,"Boho,Cleenish and Letterbreen",2015,222,220,3,8671,30,14,8466,9243,7062,0,0,244,119,58,57,359
N08000606,Brookeborough,2015,197,188,9,7617,62,20,7319,13879,4882,116,0,242,134,51,58,351
N08000607,Camowen,2015,14,7,7,653,113,10,619,1492,378,1449,0,16,11,3,9,26
N08000608,Castlecoole,2015,9,8,3,354,24,12,186,319,60,0,0,9,5,0,3,12
N08000609,Coolnagard,2015,5,5,0,229,13,0,229,44,617,0,0,5,3,0,0,5
N08000610,Dergmoney,2015,5,3,3,100,117,0,100,105,232,0,60,5,3,3,3,9
N08000611,Derrygonnelly,2015,188,186,3,9675,47,69,9408,10474,6137,0,47,227,142,40,61,328
N08000612,Derrylin,2015,215,215,0,7244,41,10,7156,11126,7410,0,43,237,133,42,53,332
N08000613,Donagh,2015,165,164,3,6735,94,16,6667,10107,2613,0,506,189,100,36,51,276
N08000614,Dromore (Fermanagh and Omagh),2015,97,96,3,4257,59,30,4181,5994,5551,51,0,117,60,18,45,180
N08000615,Drumnakilly,2015,91,89,3,3242,55,3,3153,4123,6202,4714,53,100,51,13,29,142
N08000616,Drumquin,2015,239,236,3,10080,38,28,9843,9590,21695,1985,42,268,130,43,73,384
N08000617,Ederney and Kesh,2015,133,131,3,5457,34,0,5385,6944,9184,0,0,155,86,30,47,232
N08000618,Erne,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000619,Fairy Water,2015,197,176,21,9537,92,116,9139,17401,15031,5912,37,257,165,58,102,417
N08000620,Fintona,2015,128,125,3,4619,90,5,4538,8192,7575,14714,36,152,93,35,35,222
N08000621,Florence Court and Kinawley,2015,269,265,3,12372,36,6,12203,13290,16417,0,48,320,168,67,73,460
N08000622,Gortin,2015,116,105,11,6645,102,41,6487,9964,20018,2869,116,147,93,29,72,248
N08000623,Gortrush,2015,6,3,3,404,69,13,307,310,1085,0,0,8,3,3,3,13
N08000624,Irvinestown,2015,107,104,3,3518,39,8,3460,4943,3784,0,18,128,55,25,34,187
N08000625,Killyclogher,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000626,Lisbellaw,2015,104,101,3,4218,71,9,4157,8073,2772,0,0,121,72,29,53,203
N08000627,Lisnarrick,2015,77,77,0,3780,58,12,3644,5874,5581,6,0,91,51,19,29,139
N08000628,Lisnaskea,2015,15,15,0,326,11,0,326,283,206,0,0,15,3,0,3,18
N08000629,Maguiresbridge,2015,186,183,3,6873,60,9,6809,12231,10837,0,3,211,125,46,75,332
N08000630,Newtownbutler,2015,149,145,3,6195,69,36,6035,10211,4263,0,171,177,97,42,60,279
N08000631,Newtownsaville,2015,215,195,20,7508,75,36,7221,14799,12666,5272,323,257,165,48,96,401
N08000632,Owenkillew,2015,252,251,3,11076,27,31,10880,7955,30142,0,32,285,139,50,62,397
N08000633,Portora,2015,5,5,0,166,20,0,166,208,50,0,0,5,3,0,3,7
N08000634,Rosslea,2015,214,213,3,6138,31,9,6032,8983,4564,0,22,252,124,51,39,342
N08000635,Rossorry,2015,15,15,0,345,14,0,338,394,308,0,0,16,8,5,3,23
N08000636,Sixmilecross,2015,192,188,3,7489,58,3,7360,11867,11524,1266,107,221,131,35,53,309
N08000637,Strule,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N08000638,Tempo,2015,191,188,3,7534,36,4,7392,9496,7556,239,14,234,121,46,49,329
N08000639,Termon,2015,189,185,3,6291,40,19,6083,7570,3741,0,297,205,110,25,47,277
N08000640,Trillick,2015,213,206,7,6962,48,9,6827,11301,8058,20,1,248,134,45,68,361
N08000701,Ballinderry,2015,63,9,54,2359,68,341,1988,3781,2594,0,98,76,43,19,42,137
N08000702,Ballyhanwood,2015,17,0,17,770,120,115,653,1391,1107,20,0,26,18,5,23,54
N08000703,Ballymacash,2015,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
