DEA Code,DEA Name,Year,Number of Farms,Number of lfa farms  ,Number of non lfa farms  ,Total area farmed in hectares  ,Average SO/farm   (€ '000 )  ,Total crops in hectares  ,Total grass & rough grazing in hectares  ,Total number of cattle  ,Total number of sheep  ,Total number of pigs  ,Total number of poultry ('000)  ,Number of farmers  ,Number of self employed,Number of spouses  ,Number of Other workers  ,Total number of Agricultural labour  ,Number of V. Small farms,Number of small farms,Number of medium farms,Number of large farms
N10000310,TITANIC,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000401,BALLYMONEY,2017,412,212,200,"18,692",109,707,"17,512","33,616","33,204","13,686",891,534,329,129,208,871,277,61,28,46
N10000402,BANN,2017,533,261,272,"26,467",82,"1,169","24,799","41,333","59,092","6,973",514,689,425,171,234,"1,094",388,58,35,52
N10000403,BENBRADAGH,2017,422,326,96,"26,712",66,"2,245","24,177","22,339","85,772",401,219,522,294,123,185,830,321,55,17,29
N10000404,CAUSEWAY,2017,347,126,221,"20,370",151,"2,110","17,783","42,832","29,029","2,901",586,465,341,128,248,841,183,57,35,72
N10000405,COLERAINE,2017,10,6,3,945,64,0,908,674,"1,441",0,0,13,3,3,5,19,7,3,0,3
N10000406,LIMAVADY,2017,204,107,97,"12,218",74,"1,665","10,284","15,096","37,095",50,1,247,155,53,96,396,136,36,15,17
N10000407,THE GLENS,2017,601,530,71,"39,063",76,881,"37,780","32,225","171,180",74,747,746,445,156,265,"1,167",419,95,41,46
N10000501,BALLYARNETT,2017,16,3,13,"1,148",96,377,742,651,"1,185",0,0,18,12,3,11,33,10,3,3,3
N10000502,DERG,2017,621,495,126,"30,857",96,932,"27,966","43,856","78,831","27,246",332,764,457,144,292,"1,200",444,89,29,59
N10000503,FAUGHAN,2017,263,173,90,"15,556",93,"1,807","13,345","22,233","36,173",79,21,332,205,65,173,570,181,38,16,28
N10000504,FOYLESIDE,2017,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
N10000505,SPERRIN,2017,828,753,75,"46,861",55,815,"45,331","42,620","174,909","1,816",124,999,555,210,373,"1,582",640,117,36,35
N10000506,THE MOOR,2017,22,10,12,"1,322",98,274,"1,009","1,698","1,649",0,0,29,19,11,20,60,15,3,3,3
